City_ID!,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2023-01-08 18:26:55,37.1041,-113.5841,9.68,59,20,2.57
1,Sur,OM,2023-01-08 18:26:55,22.5667,59.5289,21.36,72,0,1.28
2,Paharpur,PK,2023-01-08 18:26:55,32.1038,70.9724,13.13,45,0,1.99
3,Jamestown,US,2023-01-08 18:26:56,42.097,-79.2353,-0.23,69,100,2.57
4,Chuy,UY,2023-01-08 18:26:56,-33.6971,-53.4616,25.75,54,2,6.59
5,Hermanus,ZA,2023-01-08 18:26:56,-34.4187,19.2345,22.11,82,2,5.14
6,Dikson,RU,2023-01-08 18:26:57,73.5069,80.5464,-35.46,93,22,5.28
7,Selestat,FR,2023-01-08 18:26:57,48.2598,7.4565,9.43,87,100,2.06
8,Klaksvik,FO,2023-01-08 18:26:58,62.2266,-6.589,5.51,86,74,18.78
9,Vestmanna,FO,2023-01-08 18:26:58,62.1564,-7.1664,4.51,81,100,8.75
10,Luena,AO,2023-01-08 18:26:59,-11.7833,19.9167,17.65,96,96,2.08
11,Luderitz,NA,2023-01-08 18:26:59,-26.6481,15.1594,18.02,81,0,0.47
12,Nileshwar,IN,2023-01-08 18:27:00,12.25,75.1,24.69,75,0,3.13
13,Ushuaia,AR,2023-01-08 18:27:00,-54.8,-68.3,21.81,35,20,2.57
14,Port Blair,IN,2023-01-08 18:27:00,11.6667,92.75,26.02,69,20,1.03
15,Daultala,PK,2023-01-08 18:27:01,33.1925,73.1413,12.01,76,50,2.77
16,Nanortalik,GL,2023-01-08 18:27:01,60.1432,-45.2371,-2.83,78,100,3.99
17,Clyde River,CA,2023-01-08 18:27:02,70.4692,-68.5914,-32.87,68,0,1.54
18,Georgetown,MY,2023-01-08 18:27:02,5.4112,100.3354,26.64,88,20,1.03
19,Cape Town,ZA,2023-01-08 18:22:49,-33.9258,18.4232,21.73,81,20,8.75
20,Longyearbyen,SJ,2023-01-08 18:27:03,78.2186,15.6401,-5.09,63,20,4.63
21,Qaanaaq,GL,2023-01-08 18:27:03,77.484,-69.3632,-26.42,96,99,2.05
22,Vardo,NO,2023-01-08 18:27:03,70.3705,31.1107,-4.01,63,100,19.03
23,Mahebourg,MU,2023-01-08 18:27:04,-20.4081,57.7,26.25,78,40,3.6
24,Constantine,DZ,2023-01-08 18:22:05,36.365,6.6147,11.67,54,40,5.66
25,Voznesenye,RU,2023-01-08 18:27:04,61.0106,35.4781,-20.41,89,7,2.94
26,Bredasdorp,ZA,2023-01-08 18:27:05,-34.5322,20.0403,20.74,79,2,3.29
27,Mar Del Plata,AR,2023-01-08 18:24:38,-38.0023,-57.5575,28.79,80,0,10.28
28,Halifax,CA,2023-01-08 18:25:53,44.6453,-63.5724,-5.0,69,13,8.75
29,Torbay,CA,2023-01-08 18:27:05,47.6666,-52.7314,-0.34,78,100,2.57
30,The Valley,AI,2023-01-08 18:27:06,18.217,-63.0578,28.23,65,20,6.17
31,Valls,ES,2023-01-08 18:27:06,41.2861,1.2499,13.05,80,20,2.06
32,Constanta,RO,2023-01-08 18:27:07,44.1833,28.65,4.38,81,100,6.49
33,Polonnaruwa,LK,2023-01-08 18:27:07,7.9333,81.0,22.63,85,42,1.35
34,Mauriti,BR,2023-01-08 18:27:07,-7.3892,-38.7744,35.01,23,49,2.29
35,Port Alfred,ZA,2023-01-08 18:27:08,-33.5906,26.891,21.77,80,74,0.89
36,Altay,CN,2023-01-08 18:27:08,47.8667,88.1167,-2.37,88,99,1.71
37,Puerto Del Rosario,ES,2023-01-08 18:27:08,28.5004,-13.8627,19.86,73,20,4.12
