,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Vaini,TO,26.09,moderate rain,-21.2,-175.2,Keleti International Resort
18,Saint-Philippe,RE,26.77,broken clouds,-21.3585,55.7679,Le Baril
20,Cape Town,ZA,27.43,few clouds,-33.9258,18.4232,Townhouse Hotel
21,Mbandaka,CD,30.77,scattered clouds,0.0487,18.2603,Hôtel Epervier
22,Atuona,PF,25.17,overcast clouds,-9.8,-139.0333,Pearl Resort
26,Bredasdorp,ZA,25.48,clear sky,-34.5322,20.0403,Victoria Hotel
29,Georgetown,MY,28.97,few clouds,5.4112,100.3354,Page 63 hostel
30,Balikpapan,ID,25.55,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
31,Rikitea,PF,25.56,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
32,Chuy,UY,22.71,overcast clouds,-33.6971,-53.4616,Alerces
40,Oranjestad,AW,28.28,scattered clouds,12.524,-70.027,Hotel California
42,Cidreira,BR,27.23,broken clouds,-30.1811,-50.2056,Hotel Castelo
43,Pisco,PE,22.03,clear sky,-13.7,-76.2167,La Portada
45,Cairns,AU,25.59,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
47,Hermanus,ZA,23.78,clear sky,-34.4187,19.2345,Aloe guest house
48,Hithadhoo,MV,27.32,overcast clouds,-0.6,73.0833,Pebbles Inn
49,Mahebourg,MU,28.16,broken clouds,-20.4081,57.7,Grand Bel Air
51,Victoria,HK,24.03,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
59,Akyab,MM,22.36,clear sky,20.15,92.9,Yuzana Aung Motel 1
69,Hervey Bay,AU,23.65,light rain,-25.2986,152.8535,Hervey Bay Hotel
70,Isangel,VU,24.63,clear sky,-19.55,169.2667,Tanna Lodge
72,Alice Springs,AU,31.23,haze,-23.7,133.8833,Aurora Alice Springs
87,Hilo,US,22.38,clear sky,19.7297,-155.09,Dolphin Bay Hotel
89,Gizo,SB,27.51,overcast clouds,-8.103,156.8419,Gizo Hotel
91,Faanui,PF,27.24,light rain,-16.4833,-151.75,Oa Oa Lodge
95,Castro,BR,25.23,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
98,Ilhabela,BR,29.07,broken clouds,-23.7781,-45.3581,Vila Kebaya
101,Avarua,CK,24.03,overcast clouds,-21.2078,-159.775,Paradise Inn
106,Ko Samui,TH,26.95,few clouds,9.5357,99.9357,Nathon Residence
108,Makasar,ID,26.03,few clouds,-5.14,119.4221,Pondok Dahlia House
117,Praya,CV,25.3,few clouds,14.9215,-23.5087,Casa Sodadi
123,Yeppoon,AU,20.88,light rain,-23.1333,150.7333,Blossom's on Seaspray
