,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,-15.89,66,100,2.03,overcast clouds
1,Busselton,AU,-33.65,115.3333,15.75,67,2,8.76,clear sky
2,Ribeira Grande,PT,38.5167,-28.7,18.22,88,40,12.52,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,13.81,58,75,6.69,broken clouds
4,Sovetskaya,RU,44.7769,41.1722,-0.63,77,0,4.7,clear sky
5,Mataura,NZ,-46.1927,168.8643,7.73,98,51,0.42,broken clouds
6,Kajaani,FI,64.2273,27.7285,1.03,93,100,3.6,overcast clouds
7,Vaini,TO,-21.2,-175.2,26.09,94,75,0.51,moderate rain
8,Egvekinot,RU,66.3167,-179.1667,-25.05,88,24,5.56,few clouds
9,Arrifes,PT,37.7667,-25.7,17.14,88,40,6.69,scattered clouds
10,Codrington,AU,-38.2667,141.9667,16.54,79,2,3.48,clear sky
11,Mao,ES,39.8885,4.2658,16.31,63,20,2.06,few clouds
12,Clyde River,CA,70.4692,-68.5914,-24.87,64,0,4.12,clear sky
13,Itapirapua,BR,-15.8233,-50.6133,23.56,91,100,1.38,overcast clouds
14,Caernarfon,GB,53.1413,-4.2702,9.89,59,75,9.77,broken clouds
15,Ryotsu,JP,38.0833,138.4333,10.28,73,100,1.76,overcast clouds
16,Tromso,NO,69.6496,18.957,1.01,93,75,5.14,light snow
17,Chokurdakh,RU,70.6333,147.9167,-32.72,97,100,3.43,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,26.77,79,84,4.89,broken clouds
19,Tura,IN,25.5198,90.2201,15.15,43,0,1.17,clear sky
20,Cape Town,ZA,-33.9258,18.4232,27.43,49,20,5.66,few clouds
21,Mbandaka,CD,0.0487,18.2603,30.77,39,41,0.98,scattered clouds
22,Atuona,PF,-9.8,-139.0333,25.17,75,100,4.56,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,-18.12,69,100,2.93,overcast clouds
24,Klaksvik,FO,62.2266,-6.589,1.51,65,100,7.4,overcast clouds
25,Nikolskoye,RU,59.7035,30.7861,1.94,98,100,4.07,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,25.48,45,0,8.19,clear sky
27,Gondal,IN,21.9667,70.8,19.81,31,1,3.7,clear sky
28,Havre-Saint-Pierre,CA,50.2334,-63.5986,-3.0,86,100,3.6,light snow
29,Georgetown,MY,5.4112,100.3354,28.97,80,20,2.06,few clouds
30,Balikpapan,ID,-1.2675,116.8289,25.55,94,20,1.54,few clouds
31,Rikitea,PF,-23.1203,-134.9692,25.56,76,13,8.34,light rain
32,Chuy,UY,-33.6971,-53.4616,22.71,67,100,2.6,overcast clouds
33,Howard,US,39.2504,-76.933,7.69,77,100,8.49,overcast clouds
34,Komsomolskiy,UZ,40.4272,71.7189,-10.6,73,75,1.03,mist
35,Katsuura,JP,35.1333,140.3,15.9,76,100,10.43,moderate rain
36,Barrow,US,71.2906,-156.7887,-17.99,71,100,11.32,overcast clouds
37,Ancona,IT,43.55,13.1667,14.12,61,40,4.12,scattered clouds
38,Asau,RO,46.4333,26.4,-1.49,78,95,1.68,overcast clouds
39,Butaritari,KI,3.0707,172.7902,26.98,81,17,6.48,light rain
40,Oranjestad,AW,12.524,-70.027,28.28,78,40,8.75,scattered clouds
41,Mopti,ML,14.6667,-4.0,32.02,9,0,5.14,clear sky
42,Cidreira,BR,-30.1811,-50.2056,27.23,69,59,3.04,broken clouds
43,Pisco,PE,-13.7,-76.2167,22.03,78,0,1.54,clear sky
44,Baykit,RU,61.67,96.37,-28.33,99,100,0.33,overcast clouds
45,Cairns,AU,-16.9167,145.7667,25.59,97,100,3.09,light rain
46,Hasaki,JP,35.7333,140.8333,8.45,75,100,9.34,overcast clouds
47,Hermanus,ZA,-34.4187,19.2345,23.78,67,0,5.61,clear sky
48,Hithadhoo,MV,-0.6,73.0833,27.32,63,100,4.51,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,28.16,65,75,4.12,broken clouds
50,Madarounfa,NE,13.3087,7.156,28.13,9,11,6.27,few clouds
51,Victoria,HK,22.2855,114.1577,24.03,92,8,1.34,clear sky
52,Shache,CN,38.4167,77.2406,-7.85,84,100,0.66,overcast clouds
53,Gushikawa,JP,26.3544,127.8686,21.57,78,0,4.63,clear sky
54,Bermeo,ES,43.4209,-2.7215,16.24,78,94,0.92,overcast clouds
55,Kaeo,NZ,-35.1,173.7833,17.4,95,56,3.14,broken clouds
56,Sovetskiy,RU,61.3614,63.5842,-9.68,88,98,4.55,overcast clouds
57,Vila,PT,42.0304,-8.1588,8.49,88,64,1.28,broken clouds
58,Hobart,AU,-42.8794,147.3294,18.92,90,52,3.09,broken clouds
59,Akyab,MM,20.15,92.9,22.36,56,1,5.55,clear sky
60,Dikson,RU,73.5069,80.5464,-35.47,91,14,4.67,few clouds
61,Adrar,MR,20.5022,-10.0711,25.71,11,0,6.37,clear sky
62,Kholm,RU,59.2667,32.85,0.9,97,100,5.0,overcast clouds
63,Boguchany,RU,58.3814,97.4531,-15.16,95,100,3.71,light snow
64,Sitka,US,57.0531,-135.33,4.94,81,100,0.0,light rain
65,Bluff,NZ,-46.6,168.3333,11.96,82,31,1.8,scattered clouds
66,Qaanaaq,GL,77.484,-69.3632,-16.66,92,100,2.31,overcast clouds
67,Eureka,US,40.8021,-124.1637,12.57,95,100,1.34,moderate rain
68,Kaitangata,NZ,-46.2817,169.8464,8.96,93,99,1.59,overcast clouds
69,Hervey Bay,AU,-25.2986,152.8535,23.65,77,100,6.97,light rain
70,Isangel,VU,-19.55,169.2667,24.63,79,10,3.95,clear sky
71,Colares,PT,38.7992,-9.4469,17.77,69,20,6.71,few clouds
72,Alice Springs,AU,-23.7,133.8833,31.23,40,30,1.34,haze
73,Punta Arenas,CL,-53.15,-70.9167,16.01,82,75,10.8,light intensity shower rain
74,Carnarvon,AU,-24.8667,113.6333,23.67,72,0,11.85,clear sky
75,Tuktoyaktuk,CA,69.4541,-133.0374,-28.0,76,75,3.6,broken clouds
76,Flin Flon,CA,54.7682,-101.865,-12.09,92,100,2.06,overcast clouds
77,Vestmannaeyjar,IS,63.4427,-20.2734,0.55,74,0,14.4,clear sky
78,Mae Hong Son,TH,19.3003,97.9685,18.4,44,0,0.76,clear sky
79,Kletnya,RU,53.3897,33.2171,-4.07,88,100,3.95,overcast clouds
80,Anadyr,RU,64.75,177.4833,-29.62,98,38,1.88,scattered clouds
81,Alofi,NU,-19.0595,-169.9187,22.94,94,40,2.57,scattered clouds
82,Nome,US,64.5011,-165.4064,-11.96,72,100,3.6,overcast clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,30.98,66,0,4.63,clear sky
84,Bambous Virieux,MU,-20.3428,57.7575,28.14,65,75,4.12,broken clouds
85,Husavik,IS,66.0449,-17.3389,-10.67,92,64,4.62,broken clouds
86,Qasigiannguit,GL,68.8193,-51.1922,-21.76,71,98,2.73,overcast clouds
87,Hilo,US,19.7297,-155.09,22.38,72,0,4.12,clear sky
88,Prince George,CA,53.9166,-122.753,2.01,98,100,4.63,fog
89,Gizo,SB,-8.103,156.8419,27.51,73,100,1.4,overcast clouds
90,Portland,US,45.5234,-122.6762,11.4,91,100,2.68,light rain
91,Faanui,PF,-16.4833,-151.75,27.24,77,100,11.42,light rain
92,Yellowknife,CA,62.456,-114.3525,-25.25,84,0,2.06,clear sky
93,East London,ZA,-33.0153,27.9116,24.52,78,100,4.63,overcast clouds
94,Hobyo,SO,5.3505,48.5268,26.4,64,2,9.76,clear sky
95,Castro,BR,-24.7911,-50.0119,25.23,61,96,3.4,overcast clouds
96,Leningradskiy,RU,69.3833,178.4167,-23.88,99,97,1.75,overcast clouds
97,Khatanga,RU,71.9667,102.5,-40.2,99,100,1.91,overcast clouds
98,Ilhabela,BR,-23.7781,-45.3581,29.07,68,75,1.12,broken clouds
99,Port Keats,AU,-14.25,129.55,27.1,82,100,3.26,overcast clouds
100,Lata,PT,40.1629,-8.3327,16.01,61,78,0.58,broken clouds
101,Avarua,CK,-21.2078,-159.775,24.03,78,100,3.6,overcast clouds
102,Saint George,US,37.1041,-113.5841,2.33,80,0,2.06,clear sky
103,Beringovskiy,RU,63.05,179.3167,-21.35,96,99,5.92,overcast clouds
104,Aleksandrov Gay,RU,50.147,48.5704,-8.39,66,10,6.41,clear sky
105,Ostrovnoy,RU,68.0531,39.5131,-0.41,88,100,9.64,overcast clouds
106,Ko Samui,TH,9.5357,99.9357,26.95,89,20,0.0,few clouds
